Country Name,Year,Birth Rate,GDP,Unemployment Rate,Female Labour Force,Health/GDP
Albania,1980,3.614,1578102105.26316,5.028,41.1321113672118,4.72
Armenia,1980,2.505,2256863448.77086,38.4,47.7651733712082,4.72
Austria,1980,1.65,81737498404.5948,1.6,40.926401267308,4.72
Azerbaijan,1980,3.497,8884848484.84848,11.777,49.0696205706327,5.665
Belgium,1980,1.68,126829314388.191,8.3,39.0304917623184,5.665
Bulgaria,1980,2.05,19839230769.2308,0.025,47.256276089319,4.128
Bosnia and Herzegovina,1980,2.034,7753478260.86957,70.0,40.7208627387751,4.786
Belarus,1980,2.03,17389558232.9317,6.281,48.6605375114777,4.786
Switzerland,1980,1.55,122557843886.137,0.209,41.5096545678413,4.786
Cyprus,1980,2.298,2154311276.94859,2.8,35.0706676643938,2.244
Czechia,1980,2.08,41016881802.4843,4.0,44.6367742241851,3.604
Germany,1980,1.44,953772499462.019,3.359,40.6131953454893,6.303
Denmark,1980,1.55,70811287815.6106,5.287,46.4031459405589,7.344
Spain,1980,2.22,232600556973.776,11.011,34.4780602338429,3.961
Estonia,1980,2.02,4013091682.2914,6.526,47.7367608337971,4.366
Finland,1980,1.63,53649984061.205,5.288,47.1837755373898,4.611
France,1980,1.85,694529183483.39,6.349,43.4519761541884,5.378
United Kingdom,1980,1.9,564947710899.373,7.133,43.7226908505045,4.532
Georgia,1980,2.327,7321981333.6772,12.715,47.6128991114323,2.54836
Greece,1980,2.23,56039256594.7242,2.663,36.1141592284947,2.54836
Croatia,1980,1.92,25650213279.6781,13.159,42.7671318971182,5.876
Hungary,1980,1.91,23041569234.9792,0.607,47.2703445615671,5.602
Ireland,1980,3.21,21747855640.0712,17.7,35.0639585458911,6.065
Iceland,1980,2.48,3381419251.29231,0.313,45.8196963048748,5.175
Italy,1980,1.64,478356755595.749,7.37,36.2814302028116,5.098001
Kazakhstan,1980,2.9,26932016269.6107,7.536,48.6937262088838,4.247
Lithuania,1980,1.99,7921210339.58439,14.6,48.2197953552337,4.247
Luxembourg,1980,1.5,6019805490.41247,0.723,34.8169221459008,4.433
Latvia,1980,1.86,5608208784.9401,3.178,47.4601981262719,2.758
Moldova,1980,2.377,3592857043.05057,2.899,51.5948668570447,4.768
North Macedonia,1980,2.417,4699646643.10954,31.992,42.6945845958748,4.768
Netherlands,1980,1.6,195439301706.939,3.354,42.7239705488286,4.768
Norway,1980,1.72,64439382896.0156,1.65,44.108190033712,5.312
Poland,1980,2.28,65977748210.5263,6.3,45.6092746396159,3.936
Portugal,1980,2.25,32896519823.7885,7.824,42.3017422283468,2.989
Romania,1980,2.43,38067567567.5676,4.0,43.2605595330065,4.444
Serbia,1980,1.87,17921892655.3672,12.26,43.700407664294,5.689
Slovenia,1980,2.11,19832029087.1272,7.836,46.361502473853,5.689
Sweden,1980,1.68,141887695763.193,2.7,47.7987299846658,7.107
Tajikistan,1980,6.11,2629395066.27017,3.2,36.2774943756906,2.511
Ukraine,1980,1.95,64087694038.2333,14.8,49.4843331984143,2.511
Uzbekistan,1980,5.047,8523160592.61112,5.2,38.2682056195572,4.465
Albania,1981,3.509,1808177156.17716,4.224,41.1321113672118,4.465
Armenia,1981,2.499,2256863448.77086,38.4,47.7651733712082,4.465
Austria,1981,1.67,70755997062.3812,2.2,40.926401267308,4.465
Azerbaijan,1981,3.41,8884848484.84848,11.777,49.0696205706327,5.665
Belgium,1981,1.66,104730018470.23,10.0,39.0304917623184,5.665
Bulgaria,1981,2.0,19870000000.0,0.025,47.256276089319,4.128
Bosnia and Herzegovina,1981,2.073,7753478260.86957,70.0,40.7208627387751,4.786
Belarus,1981,2.02,17389558232.9317,6.281,48.6605375114777,4.786
Switzerland,1981,1.55,112244805518.786,0.19,41.5096545678413,4.786
Cyprus,1981,2.154,2087496373.77964,2.8,35.0706676643938,2.244
Czechia,1981,2.0,41016881802.4843,4.0,44.6367742241851,3.604
Germany,1981,1.43,803404797057.551,4.831,40.6131953454893,6.54
Denmark,1981,1.44,61459941460.5385,7.133,46.4031459405589,7.481
Spain,1981,2.04,202663023968.283,13.755,34.4780602338429,4.005
Estonia,1981,2.07,4013091682.2914,6.526,47.7367608337971,4.366
Finland,1981,1.64,52440066133.9212,5.743,47.1837755373898,4.742
France,1981,1.85,609184791792.396,7.438,43.4519761541884,5.5994024
United Kingdom,1981,1.82,540765675241.158,9.65,43.7226908505045,4.71
Georgia,1981,2.311,7321981333.6772,12.715,47.6128991114323,2.706719
Greece,1981,2.09,51618456334.5633,4.0,36.1141592284947,2.706719
Croatia,1981,1.913,25650213279.6781,13.159,42.7671318971182,5.876
Hungary,1981,1.88,23628554956.6052,0.232,47.2703445615671,5.602
Ireland,1981,3.05,20670190138.1671,17.7,35.0639585458911,5.826
Iceland,1981,2.33,3492997010.04956,0.365,45.8196963048748,5.32
Italy,1981,1.58,431695533980.583,7.649,36.2814302028116,4.871031
Kazakhstan,1981,2.95,26932016269.6107,7.536,48.6937262088838,4.247
Lithuania,1981,1.98,7921210339.58439,14.6,48.2197953552337,4.247
Luxembourg,1981,1.55,5053665797.47936,1.015,34.8169221459008,4.551
